age,gender,university,department,academic_year,cgpa,waiver_or_-scholarship,nervous_anxious-_academic-pressure,unable_stopworrying_-academic-affairs,trouble_relaxing_academicpressure,annoyed_irritated_-byacademicpressure,worried_for_academicaffairs,restless_academic-pressure,afraid_awful_happen,anxiety_value,anxiety_label,upset_academicaffairs,unable_control_academicaffairs,nervous_stressed_-academicpressure,not_cope_academic-activities,ability-_-handle_-academicproblems,academicz_life_-goingonyourway,control_irritations_academicaffairs,academic_performance_ontop,angered_bad_performance_lowgrades,academic_difficulties,stress_value,stress_label,little_interest_pleasure,feelingdown_depressed_hopeless,trouble_falling_staying,feelingtired_littleenergy,poor_appetite_overeating?-,feelingbadaboutyourself-,trouble_concentrating,movedorspoke_slowly,thoughtsofhurting-yourself,depressionvalue,depressionlabel
18-22,Female,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,Fourth-Year-or-Equivalent,2.50---2.99,No,1,1,1,2,2,2,1,10,Moderate-Anxiety,2,2,3,2,2,2,2,2,2,2,21,Moderate-Stress,1,2,1,1,2,1,1,1,1,11,Moderate-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.80---4.00,No,2,2,1,1,1,1,1,9,Mild-Anxiety,2,2,2,2,2,2,2,1,1,2,18,Moderate-Stress,1,1,1,1,1,1,1,1,1,9,Mild-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.00---3.39,No,2,1,1,0,2,2,2,10,Moderate-Anxiety,3,2,2,3,3,2,3,2,2,1,23,Moderate-Stress,2,0,2,3,2,2,2,2,1,16,Moderately-Severe-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.40---3.79,No,2,1,1,1,1,1,1,8,Mild-Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate-Stress,1,1,1,1,1,1,1,1,1,9,Mild-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.40---3.79,No,1,1,1,1,1,1,1,7,Mild-Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate-Stress,1,1,1,1,1,1,1,1,1,9,Mild-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.80---4.00,No,2,2,2,2,2,2,2,14,Moderate-Anxiety,4,2,2,2,2,2,2,2,2,2,22,Moderate-Stress,2,2,2,2,2,2,2,2,2,18,Moderately-Severe-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.80---4.00,Yes,0,1,1,0,1,1,0,4,Minimal-Anxiety,1,1,1,0,0,1,0,1,0,0,5,Low-Stress,0,0,1,0,0,0,1,1,0,3,Minimal-Depression
18-22,Male,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,Third-Year-or-Equivalent,2.50---2.99,No,2,2,2,2,3,2,3,16,Severe-Anxiety,2,2,2,2,2,2,3,3,2,2,22,Moderate-Stress,2,3,3,0,0,3,3,0,0,14,Moderate-Depression
18-22,Female,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.80---4.00,No,2,2,2,2,2,2,2,14,Moderate-Anxiety,0,2,4,2,2,2,2,2,2,2,20,Moderate-Stress,2,2,2,2,2,2,2,2,2,18,Moderately-Severe-Depression
18-22,Female,IndependentUniversityBangladesh(IUB),Engineering---CS-/-CSE-/-CSC-/-Similar-to-CS,First-Year-or-Equivalent,3.80---4.00,Yes,1,1,3,3,2,2,1,13,Moderate-Anxiety,2,3,2,3,2,2,2,2,2,2,22,Moderate-Stress,1,3,3,3,1,3,3,2,0,19,Moderately-Severe-Depression
